weighting,token,document_count
rows,ngerti,15
rows,cowok,15
rows,wkwkwk,15
rows,rasul,15
rows,hadist,15
rows,dokter,14
rows,sekutu,14
rows,klaim,14
rows,joe,14
rows,ngibul,14
rows,tpi,14
rows,mantan,14
rows,jujur,14
rows,digunakan,14
rows,bokep,14
rows,keadilan,14
rows,generasi,14
rows,pintu,14
rows,rela,14
rows,langkah,14
rows,gaya,14
rows,gus,14
rows,sengaja,14
rows,koalisi,14
rows,upaya,14
rows,melayu,14
rows,berbuat,14
rows,megawati,14
rows,putra,14
rows,budaya,14
rows,wali,14
rows,berakhir,14
rows,relawan,14
rows,mundur,14
rows,donasi,14
rows,tsb,14
rows,gelar,14
rows,terang,14
rows,gunakan,14
rows,medan,14
rows,puluhan,14
rows,kompas,14
rows,cak,14
rows,tepi,14
rows,love,14
rows,allahu,14
rows,gampang,14
rows,sallam,14
rows,keduanya,14
rows,kutuk,14
rows,bayar,14
rows,dekat,14
rows,lembaga,14
rows,izin,14
rows,tubuh,14
rows,reuters,14
rows,app,14
rows,download,14
rows,binatang,14
rows,besok,14
rows,menargetkan,14
rows,perbuatan,14
rows,medis,14
rows,sholat,14
rows,berdasarkan,14
rows,fyp,14
rows,nyari,14
rows,kementerian,14
rows,pulang,14
rows,terluka,14
rows,menyuarakan,14
rows,dibantai,14
rows,sebanyak,14
rows,tanggal,14
rows,bangga,14
rows,berdosa,14
rows,teh,14
rows,homo,14
rows,bersalah,14
rows,perbedaan,14
rows,gatau,14
rows,mujahidin,14
rows,keyakinan,14
rows,belah,14
rows,baju,14
rows,tag,14
rows,soalnya,14
rows,bajingan,14
rows,mengungsi,14
rows,ajg,14
rows,misi,14
rows,tipu,14
rows,utsman,14
rows,pasutri,14
rows,debat,13
rows,tempur,13
rows,irak,13
rows,ber,13
rows,membangun,13
rows,rakyatnya,13
rows,melarang,13
rows,yuk,13
rows,data,13
rows,hrs,13
rows,fokus,13
rows,jejak,13
rows,kepentingan,13
rows,ikuti,13
rows,pribadi,13
rows,betul,13
rows,belanda,13
rows,anaknya,13
rows,lagu,13
rows,facebook,13
rows,era,13
rows,berdiri,13
rows,sukses,13
rows,bohong,13
rows,opini,13
rows,penyakit,13
rows,gedung,13
rows,dinasti,13
rows,ibarat,13
rows,cindo,13
rows,bola,13
rows,minum,13
rows,sisi,13
rows,pindah,13
rows,menjajah,13
rows,lahir,13
rows,giliran,13
rows,kadang,13
rows,nilai,13
rows,babak,13
rows,gemoy,13
rows,menangkan,13
rows,okt,13
rows,bacot,13
rows,bung,13
rows,halal,13
rows,kebohongan,13
rows,domba,13
rows,with,13
rows,menyesatkan,13
rows,kisah,13
rows,nyerang,13
rows,uud,13
rows,elu,13
rows,solo,13
rows,sebaliknya,13
rows,batas,13
rows,berbeda,13
rows,tetep,13
rows,luka,13
rows,aqsa,13
rows,guys,13
rows,pertempuran,13
rows,terbuka,13
rows,bukannya,13
rows,arah,13
rows,mencoba,13
rows,pendapat,13
rows,miliar,13
rows,meski,13
rows,sasaran,13
rows,anggap,13
rows,pemboman,13
rows,memberi,13
rows,mengetahui,13
rows,azab,13
rows,niat,13
rows,beriman,13
rows,diberi,13
rows,taimiyah,13
rows,sekelompok,13
rows,umur,13
rows,alkitab,13
rows,sma,13
rows,kemana,13
rows,setengah,13
rows,merayakan,13
rows,jogja,13
rows,fans,13
rows,khawarij,13
rows,alquran,13
rows,palestinegenocide,13
rows,hindu,12
rows,ikn,12
rows,pajak,12
rows,posisi,12
rows,situasi,12
rows,bidang,12
rows,menyerah,12
rows,etnis,12
rows,kaget,12
rows,hutang,12
rows,teknologi,12
rows,ancaman,12
rows,jenderal,12
rows,kebijakan,12
rows,bbm,12
rows,agung,12
rows,menerus,12
rows,pemukiman,12
rows,dibunuh,12
rows,peringatan,12
rows,modern,12
rows,publik,12
rows,maha,12
rows,ataupun,12
rows,dijajah,12
rows,menyebar,12
rows,alat,12
rows,bisnis,12
rows,wowo,12
rows,bergabung,12
rows,memimpin,12
rows,kehancuran,12
rows,drun,12
rows,tetangga,12
rows,pemerintahan,12
rows,jongos,12
rows,jaringan,12
rows,program,12
rows,minimal,12
rows,ente,12
rows,alias,12
rows,menghina,12
rows,gabung,12
rows,taipei,12
rows,sekaligus,12
rows,gelap,12
rows,universitas,12
rows,tepat,12
rows,tinggalkan,12
rows,luas,12
rows,kerusakan,12
rows,berpikir,12
rows,laut,12
rows,bebas,12
rows,pejabat,12
rows,genetik,12
rows,support,12
rows,meskipun,12
rows,nuklir,12
rows,hukuman,12
rows,israelinewnazism,12
rows,sodara,12
rows,online,12
rows,nyesel,12
rows,puan,12
rows,tunduk,12
rows,duduk,12
rows,kerjaan,12
rows,beribadah,12
rows,seharusnya,12
rows,pertanyaan,12
rows,percuma,12
rows,retno,12
rows,dalih,12
rows,sibuk,12
rows,menuduh,12
rows,keamanan,12
rows,banyaknya,12
rows,negaranya,12
rows,uda,12
rows,tel,12
rows,mampus,12
rows,kelak,12
rows,mengancam,12
rows,kejahatanperang,12
rows,setempat,12
rows,aplikasi,12
rows,trending,12
rows,membebaskan,12
rows,menyebarkan,12
rows,temukan,12
rows,protes,12
rows,chinese,12
rows,raya,12
rows,wal,12
rows,lingkungan,12
rows,wah,12
rows,state,12
rows,victim,12
rows,adapun,12
rows,mulia,12
rows,anj,12
rows,otaknya,12
rows,nasrani,12
rows,jelek,12
rows,vcs,12
rows,madinah,12
rows,houthi,12
rows,thalib,12
rows,penipu,12
rows,misalnya,11
rows,tutup,11
rows,pinter,11
rows,lari,11
rows,sekutunya,11
rows,tenaga,11
rows,kerajaan,11
rows,persia,11
rows,penganut,11
rows,hasan,11
rows,pengusaha,11
rows,siapapun,11
rows,emas,11
rows,bahaya,11
rows,pendiri,11
rows,bersih,11
rows,stop,11
rows,menjawab,11
rows,subianto,11
rows,modal,11
rows,konsep,11
rows,riwayat,11
rows,nenek,11
rows,jepang,11
rows,tertipu,11
rows,terlibat,11
rows,pintar,11
rows,bau,11
rows,matanya,11
rows,panggil,11
rows,narasi,11
rows,sekalipun,11
rows,janda,11
rows,rusak,11
rows,lgbtq,11
rows,batam,11
rows,aslinya,11
rows,koruptor,11
rows,ketakutan,11
rows,piala,11
rows,buruh,11
rows,hamil,11
rows,wong,11
rows,pengeboman,11
rows,henti,11
rows,mengklaim,11
rows,dendam,11
rows,rasis,11
rows,ganjarpranowo,11
rows,amanah,11
rows,memusuhi,11
rows,dewan,11
rows,nge,11
rows,spt,11
rows,mimpi,11
rows,kenyataan,11
rows,hadir,11
rows,lima,11
rows,bkn,11
rows,memerangi,11
rows,kawan,11
rows,hukumnya,11
rows,terdapat,11
rows,menjelaskan,11
rows,dongeng,11
rows,bekas,11
rows,kendaraan,11
rows,story,11
rows,aviv,11
rows,dibom,11
rows,hilang,11
rows,diatas,11
rows,perjanjian,11
rows,repost,11
rows,kapal,11
rows,website,11
rows,dituduh,11
rows,syahid,11
rows,menutup,11
rows,menewaskan,11
rows,global,11
rows,matian,11
rows,langit,11
rows,ancam,11
rows,sehari,11
rows,hentikan,11
rows,wajar,11
rows,pembangunan,11
rows,hebat,11
rows,husein,11
rows,membaca,11
rows,september,11
rows,jenis,11
rows,bertanya,11
rows,suruh,11
rows,malem,11
rows,perilaku,11
rows,fisik,11
rows,hitler,11
rows,maki,11
rows,cantik,11
rows,palestinamelawan,11
rows,berpihak,11
rows,sanggup,11
rows,guna,11
rows,didukung,11
rows,kajian,11
rows,terkini,11
rows,panjang,11
rows,aqsha,11
rows,all,11
rows,ribut,11
rows,pdhl,11
rows,muhammadiyah,11
rows,kaga,11
rows,ordebarureborn,11
rows,pengakuan,11
rows,isinya,11
rows,ahlusunnah,11
rows,memfitnah,11
rows,rame,11
rows,lesbian,11
rows,puas,11
rows,ready,11
rows,sange,11
rows,muhamad,11
rows,syaikhul,11
rows,gazagenocide,11
rows,india,10
rows,tiongkok,10
rows,bebaskan,10
rows,investor,10
rows,periode,10
rows,hormat,10
rows,gubernur,10
rows,thn,10
rows,sekedar,10
rows,tuan,10
rows,setara,10
rows,nepotisme,10
rows,medsos,10
rows,api,10
rows,biarkan,10
rows,sebutan,10
rows,mencegah,10
rows,sejahtera,10
rows,budek,10
rows,pendidikan,10
rows,ahok,10
rows,fix,10
rows,pukul,10
rows,menjual,10
rows,fatimiyah,10
rows,proses,10
rows,kemungkinan,10
rows,kagak,10
rows,politisi,10
rows,drama,10
rows,timnas,10
rows,identitas,10
rows,sah,10
rows,simbol,10
rows,suriah,10
rows,muhaimin,10
rows,kubu,10
rows,licik,10
rows,menghasilkan,10
rows,berjalan,10
rows,fuck,10
rows,super,10
rows,kpu,10
rows,surya,10
rows,dpt,10
rows,rata,10
rows,berperang,10
rows,warganya,10
rows,see,10
rows,israelterrorists,10
rows,bem,10
rows,buang,10
rows,erdogan,10
rows,ruang,10
rows,menyelamatkan,10
rows,kotor,10
rows,ditolak,10
rows,ikutan,10
rows,hobi,10
rows,international,10
rows,blm,10
rows,hotel,10
rows,selamatkan,10
rows,normal,10
rows,gangguan,10
rows,smua,10
rows,membuktikan,10
rows,photo,10
rows,jenazah,10
rows,informasi,10
rows,bertanggung,10
rows,melaporkan,10
rows,telegram,10
rows,batu,10
rows,tvone,10
rows,gerbang,10
rows,roket,10
rows,tugas,10
rows,sholeh,10
rows,sosok,10
rows,your,10
rows,menlu,10
rows,marsudi,10
rows,ayah,10
rows,tweet,10
rows,menurutnya,10
rows,dipakai,10
rows,fasilitas,10
rows,hadapan,10
rows,korea,10
rows,dihancurkan,10
rows,penjahat,10
rows,urusan,10
rows,jatuh,10
rows,tafsir,10
rows,rahimahullah,10
rows,kedok,10
rows,kecaman,10
rows,pembunuh,10
rows,lantaran,10
rows,time,10
rows,post,10
rows,menyetujui,10
rows,umumnya,10
rows,berlaku,10
rows,otoritas,10
rows,kebutuhan,10
rows,pasca,10
rows,not,10
rows,paksa,10
rows,kesehatan,10
rows,sempat,10
rows,area,10
rows,ngeliat,10
rows,campur,10
rows,ceasefirenow,10
rows,jaga,10
rows,untung,10
rows,bedanya,10
rows,peristiwa,10
